"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US34037","Sussex County, New Jersey","146888","*****"
"0500000US34039","Union County, New Jersey","545236","*****"
"0500000US34041","Warren County, New Jersey","107624","*****"
"0500000US35001","Bernalillo County, New Mexico","671429","*****"
"0500000US35003","Catron County, New Mexico","3651","*****"
"0500000US35005","Chaves County, New Mexico","65850","*****"
"0500000US35006","Cibola County, New Mexico","27392","*****"
"0500000US35007","Colfax County, New Mexico","13264","*****"
"0500000US35009","Curry County, New Mexico","50173","*****"
"0500000US35013","Do?a Ana County, New Mexico","212942","*****"
"0500000US35015","Eddy County, New Mexico","54834","*****"
"0500000US35017","Grant County, New Mexico","29303","*****"
"0500000US35019","Guadalupe County, New Mexico","4594","*****"
"0500000US35023","Hidalgo County, New Mexico","4734","*****"
"0500000US35025","Lea County, New Mexico","66876","*****"
"0500000US35027","Lincoln County, New Mexico","20162","*****"
"0500000US35028","Los Alamos County, New Mexico","17974","*****"
"0500000US35029","Luna County, New Mexico","24947","*****"
"0500000US35031","McKinley County, New Mexico","73082","*****"
"0500000US35033","Mora County, New Mexico","4722","*****"
"0500000US35035","Otero County, New Mexico","65415","*****"
"0500000US35037","Quay County, New Mexico","8822","*****"
"0500000US35039","Rio Arriba County, New Mexico","40155","*****"
"0500000US35041","Roosevelt County, New Mexico","20065","*****"
"0500000US35043","Sandoval County, New Mexico","135191","*****"
"0500000US35045","San Juan County, New Mexico","127358","*****"
"0500000US35047","San Miguel County, New Mexico","28899","*****"
"0500000US35049","Santa Fe County, New Mexico","146361","*****"
"0500000US35051","Sierra County, New Mexico","11774","*****"
"0500000US35053","Socorro County, New Mexico","17608","*****"
"0500000US35055","Taos County, New Mexico","32956","*****"
"0500000US35057","Torrance County, New Mexico","16037","*****"
"0500000US35059","Union County, New Mexico","4413","*****"
"0500000US35061","Valencia County, New Mexico","76480","*****"
"0500000US36001","Albany County, New York","306124","*****"
"0500000US36003","Allegany County, New York","48387","*****"
"0500000US36005","Bronx County, New York","1413566","*****"
"0500000US36007","Broome County, New York","198797","*****"
"0500000US36009","Cattaraugus County, New York","79397","*****"
"0500000US36011","Cayuga County, New York","79481","*****"
"0500000US36013","Chautauqua County, New York","133556","*****"
"0500000US36015","Chemung County, New York","88681","*****"
"0500000US36017","Chenango County, New York","49868","*****"
"0500000US36019","Clinton County, New York","81829","*****"
"0500000US36021","Columbia County, New York","62525","*****"
"0500000US36023","Cortland County, New York","49231","*****"
"0500000US36025","Delaware County, New York","47223","*****"
"0500000US36027","Dutchess County, New York","297388","*****"
"0500000US36029","Erie County, New York","920694","*****"
"0500000US36031","Essex County, New York","39072","*****"
"0500000US36033","Franklin County, New York","51508","*****"
"0500000US36035","Fulton County, New York","54870","*****"
"0500000US36037","Genesee County, New York","59702","*****"
"0500000US36039","Greene County, New York","48618","*****"
"0500000US36041","Hamilton County, New York","4783","*****"
"0500000US36043","Herkimer County, New York","64329","*****"
"0500000US36045","Jefferson County, New York","118885","*****"
"0500000US36047","Kings County, New York","2570801","*****"
"0500000US36049","Lewis County, New York","27164","*****"
"0500000US36051","Livingston County, New York","64867","*****"
"0500000US36053","Madison County, New York","72731","*****"
"0500000US36055","Monroe County, New York","748076","*****"
"0500000US36057","Montgomery County, New York","49951","*****"
"0500000US36059","Nassau County, New York","1350601","*****"
"0500000US36061","New York County, New York","1618398","*****"
"0500000US36063","Niagara County, New York","214973","*****"
"0500000US36065","Oneida County, New York","233944","*****"
"0500000US36067","Onondaga County, New York","467846","*****"
"0500000US36069","Ontario County, New York","108975","*****"
"0500000US36071","Orange County, New York","374518","*****"
"0500000US36073","Orleans County, New York","42492","*****"
"0500000US36075","Oswego County, New York","121659","*****"
"0500000US36077","Otsego County, New York","61778","*****"
"0500000US36079","Putnam County, New York","99697","*****"
"0500000US36081","Queens County, New York","2280602","*****"
"0500000US36083","Rensselaer County, New York","159600","*****"
"0500000US36085","Richmond County, New York","471522","*****"
"0500000US36087","Rockland County, New York","318186","*****"
"0500000US36089","St. Lawrence County, New York","112015","*****"
"0500000US36091","Saratoga County, New York","222512","*****"
"0500000US36093","Schenectady County, New York","155178","*****"
"0500000US36095","Schoharie County, New York","32153","*****"
"0500000US36097","Schuyler County, New York","18458","*****"
"0500000US36099","Seneca County, New York","35232","*****"
"0500000US36101","Steuben County, New York","98917","*****"
"0500000US36103","Suffolk County, New York","1500373","*****"
"0500000US36105","Sullivan County, New York","76892","*****"
"0500000US36107","Tioga County, New York","50464","*****"
"0500000US36109","Tompkins County, New York","103179","*****"
"0500000US36111","Ulster County, New York","181598","*****"
"0500000US36113","Warren County, New York","65388","*****"
"0500000US36115","Washington County, New York","62910","*****"
"0500000US36117","Wayne County, New York","92887","*****"
"0500000US36119","Westchester County, New York","962319","*****"
"0500000US36121","Wyoming County, New York","41679","*****"
"0500000US36123","Yates County, New York","25281","*****"
"0500000US37001","Alamance County, North Carolina","153713","*****"
"0500000US37003","Alexander County, North Carolina","37175","*****"
"0500000US37005","Alleghany County, North Carolina","10974","*****"
"0500000US37007","Anson County, North Carolina","26309","*****"
"0500000US37009","Ashe County, North Carolina","27173","*****"
"0500000US37011","Avery County, North Carolina","17739","*****"
"0500000US37013","Beaufort County, North Carolina","47587","*****"
"0500000US37015","Bertie County, North Carolina","20677","*****"
"0500000US37017","Bladen County, North Carolina","34915","*****"
"0500000US37019","Brunswick County, North Carolina","112907","*****"
"0500000US37021","Buncombe County, North Carolina","244599","*****"
"0500000US37023","Burke County, North Carolina","90164","*****"
"0500000US37025","Cabarrus County, North Carolina","184855","*****"
"0500000US37027","Caldwell County, North Carolina","82140","*****"
"0500000US37029","Camden County, North Carolina","10127","*****"
"0500000US37031","Carteret County, North Carolina","67851","*****"
"0500000US37033","Caswell County, North Carolina","23357","*****"
"0500000US37035","Catawba County, North Carolina","154457","*****"
"0500000US37037","Chatham County, North Carolina","66050","*****"
"0500000US37039","Cherokee County, North Carolina","27156","*****"
"0500000US37041","Chowan County, North Carolina","14703","*****"
"0500000US37043","Clay County, North Carolina","10616","*****"
"0500000US37045","Cleveland County, North Carolina","97464","*****"
"0500000US37047","Columbus County, North Carolina","57512","*****"
"0500000US37049","Craven County, North Carolina","104574","*****"
"0500000US37051","Cumberland County, North Carolina","324002","*****"
"0500000US37053","Currituck County, North Carolina","24212","*****"
"0500000US37055","Dare County, North Carolina","34530","*****"
"0500000US37057","Davidson County, North Carolina","163545","*****"
"0500000US37059","Davie County, North Carolina","41411","*****"
"0500000US37061","Duplin County, North Carolina","59455","*****"
"0500000US37063","Durham County, North Carolina","282422","*****"
"0500000US37065","Edgecombe County, North Carolina","55779","*****"
"0500000US37067","Forsyth County, North Carolina","358130","*****"
"0500000US37069","Franklin County, North Carolina","61723","*****"
"0500000US37071","Gaston County, North Carolina","208379","*****"
"0500000US37073","Gates County, North Carolina","11877","*****"
"0500000US37075","Graham County, North Carolina","8743","*****"
