"","FIPS","YEAR","STATE","COUNTY","DOSAGE_UNIT"
"1","1001",2006,"AL","AUTAUGA",2277140
"2","1001",2007,"AL","AUTAUGA",2595590
"3","1001",2008,"AL","AUTAUGA",2817500
"4","1001",2009,"AL","AUTAUGA",3120850
"5","1001",2010,"AL","AUTAUGA",3174140
"6","1001",2011,"AL","AUTAUGA",3525120
"7","1001",2012,"AL","AUTAUGA",3758130
"8","1001",2013,"AL","AUTAUGA",3766910
"9","1001",2014,"AL","AUTAUGA",3638490
"10","1003",2006,"AL","BALDWIN",6353798
"11","1003",2007,"AL","BALDWIN",7666160
"12","1003",2008,"AL","BALDWIN",8620950
"13","1003",2009,"AL","BALDWIN",9668050
"14","1003",2010,"AL","BALDWIN",10862078
"15","1003",2011,"AL","BALDWIN",12358832
"16","1003",2012,"AL","BALDWIN",14396713
"17","1003",2013,"AL","BALDWIN",14294091
"18","1003",2014,"AL","BALDWIN",13363652
"19","1005",2006,"AL","BARBOUR",827060
"20","1005",2007,"AL","BARBOUR",951130
"21","1005",2008,"AL","BARBOUR",1009540
"22","1005",2009,"AL","BARBOUR",1115140
"23","1005",2010,"AL","BARBOUR",1259920
"24","1005",2011,"AL","BARBOUR",1380550
"25","1005",2012,"AL","BARBOUR",1447300
"26","1005",2013,"AL","BARBOUR",1436930
"27","1005",2014,"AL","BARBOUR",1292060
"28","1007",2006,"AL","BIBB",754210
"29","1007",2007,"AL","BIBB",871170
"30","1007",2008,"AL","BIBB",1058140
"31","1007",2009,"AL","BIBB",1018370
"32","1007",2010,"AL","BIBB",1126890
"33","1007",2011,"AL","BIBB",1299090
"34","1007",2012,"AL","BIBB",1288190
"35","1007",2013,"AL","BIBB",1325240
"36","1007",2014,"AL","BIBB",1339760
"37","1009",2006,"AL","BLOUNT",1290295
"38","1009",2007,"AL","BLOUNT",1416240
"39","1009",2008,"AL","BLOUNT",1499320
"40","1009",2009,"AL","BLOUNT",1689520
"41","1009",2010,"AL","BLOUNT",1780720
"42","1009",2011,"AL","BLOUNT",2066320
"43","1009",2012,"AL","BLOUNT",2198070
"44","1009",2013,"AL","BLOUNT",2128020
"45","1009",2014,"AL","BLOUNT",2072030
"46","1011",2006,"AL","BULLOCK",112840
"47","1011",2007,"AL","BULLOCK",142930
"48","1011",2008,"AL","BULLOCK",191120
"49","1011",2009,"AL","BULLOCK",270410
"50","1011",2010,"AL","BULLOCK",352290
"51","1011",2011,"AL","BULLOCK",420840
"52","1011",2012,"AL","BULLOCK",418790
"53","1011",2013,"AL","BULLOCK",422140
