"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US34023","Middlesex County, New Jersey","804299","*****"
"0500000US34025","Monmouth County, New Jersey","628920","*****"
"0500000US34027","Morris County, New Jersey","491307","*****"
"0500000US34029","Ocean County, New Jersey","572991","*****"
"0500000US34031","Passaic County, New Jersey","498009","*****"
"0500000US34033","Salem County, New Jersey","65984","*****"
"0500000US34035","Somerset County, New Jersey","321304","*****"
"0500000US34037","Sussex County, New Jersey","149589","*****"
"0500000US34039","Union County, New Jersey","532378","*****"
"0500000US34041","Warren County, New Jersey","108829","*****"
"0500000US35001","Bernalillo County, New Mexico","655306","*****"
"0500000US35003","Catron County, New Mexico","3687","*****"
"0500000US35005","Chaves County, New Mexico","64949","*****"
"0500000US35006","Cibola County, New Mexico","27316","*****"
"0500000US35007","Colfax County, New Mexico","13762","*****"
"0500000US35009","Curry County, New Mexico","47453","*****"
"0500000US35013","Do?a Ana County, New Mexico","205637","*****"
"0500000US35015","Eddy County, New Mexico","53228","*****"
"0500000US35017","Grant County, New Mexico","29684","*****"
"0500000US35019","Guadalupe County, New Mexico","4684","*****"
"0500000US35023","Hidalgo County, New Mexico","4953","*****"
"0500000US35025","Lea County, New Mexico","63690","*****"
"0500000US35027","Lincoln County, New Mexico","20476","*****"
"0500000US35028","Los Alamos County, New Mexico","18040","*****"
"0500000US35029","Luna County, New Mexico","25250","*****"
"0500000US35031","McKinley County, New Mexico","71290","*****"
"0500000US35033","Mora County, New Mexico","4878","*****"
"0500000US35035","Otero County, New Mexico","63494","*****"
"0500000US35037","Quay County, New Mexico","9000","*****"
"0500000US35039","Rio Arriba County, New Mexico","40216","*****"
"0500000US35041","Roosevelt County, New Mexico","19622","*****"
"0500000US35043","Sandoval County, New Mexico","128280","*****"
"0500000US35045","San Juan County, New Mexico","128160","*****"
"0500000US35047","San Miguel County, New Mexico","29300","*****"
"0500000US35049","Santa Fe County, New Mexico","143053","*****"
"0500000US35051","Sierra County, New Mexico","11925","*****"
"0500000US35053","Socorro County, New Mexico","17926","*****"
"0500000US35055","Taos County, New Mexico","32720","*****"
"0500000US35057","Torrance County, New Mexico","16391","*****"
"0500000US35059","Union County, New Mexico","4433","*****"
"0500000US35061","Valencia County, New Mexico","75640","*****"
"0500000US36001","Albany County, New York","303957","*****"
"0500000US36003","Allegany County, New York","48991","*****"
"0500000US36005","Bronx County, New York","1374593","*****"
"0500000US36007","Broome County, New York","200448","*****"
"0500000US36009","Cattaraugus County, New York","80478","*****"
"0500000US36011","Cayuga County, New York","80204","*****"
"0500000US36013","Chautauqua County, New York","135018","*****"
"0500000US36015","Chemung County, New York","88731","*****"
"0500000US36017","Chenango County, New York","50788","*****"
"0500000US36019","Clinton County, New York","82265","*****"
"0500000US36021","Columbia County, New York","63055","*****"
"0500000US36023","Cortland County, New York","49441","*****"
"0500000US36025","Delaware County, New York","48079","*****"
"0500000US36027","Dutchess County, New York","296842","*****"
"0500000US36029","Erie County, New York","919714","*****"
"0500000US36031","Essex County, New York","39357","*****"
"0500000US36033","Franklin County, New York","51711","*****"
"0500000US36035","Fulton County, New York","55456","*****"
"0500000US36037","Genesee County, New York","59966","*****"
