"","FIPS","STATE","COUNTY","PopArcosTotal"
"1","01001","AL","Autauga",53155
"2","01003","AL","Baldwin",175791
"3","01005","AL","Barbour",27699
"4","01007","AL","Bibb",22610
"5","01009","AL","Blount",56692
"6","01011","AL","Bullock",10923
"7","01013","AL","Butler",20895
"8","01015","AL","Calhoun",117149
"9","01017","AL","Chambers",34579
"10","01019","AL","Cherokee",25700
"11","01021","AL","Chilton",43121
"12","01023","AL","Choctaw",14111
"13","01025","AL","Clarke",26255
"14","01027","AL","Clay",14040
"15","01029","AL","Cleburne",14823
"16","01031","AL","Coffee",48349
"17","01033","AL","Colbert",54446
"18","01035","AL","Conecuh",13382
"19","01037","AL","Coosa",11470
"20","01039","AL","Covington",37608
"21","01041","AL","Crenshaw",13928
"22","01043","AL","Cullman",79941
"23","01045","AL","Dale",49730
"24","01047","AL","Dallas",44066
"25","01049","AL","De Kalb",70038
"26","01051","AL","Elmore",77650
"27","01053","AL","Escambia",37996
"28","01055","AL","Etowah",104066
"29","01057","AL","Fayette",17472
"30","01059","AL","Franklin",31383
"31","01061","AL","Geneva",26541
"32","01063","AL","Greene",9255
"33","01065","AL","Hale",16168
"34","01067","AL","Henry",17148
"35","01069","AL","Houston",99029
"36","01071","AL","Jackson",53386
"37","01073","AL","Jefferson",656912
"38","01075","AL","Lamar",14743
"39","01077","AL","Lauderdale",91762
"40","01079","AL","Lawrence",34235
"41","01081","AL","Lee",135010
"42","01083","AL","Limestone",78614
"43","01085","AL","Lowndes",11731
"44","01087","AL","Macon",21699
"45","01089","AL","Madison",323080
"46","01091","AL","Marengo",21296
"47","01093","AL","Marion",30792
"48","01095","AL","Marshall",90867
"49","01097","AL","Mobile",408620
"50","01099","AL","Monroe",23329
"51","01101","AL","Montgomery",228018
"52","01103","AL","Morgan",117632
"53","01105","AL","Perry",10684
"54","01107","AL","Pickens",19917
"55","01109","AL","Pike",32147
"56","01111","AL","Randolph",22817
"57","01113","AL","Russell",51663
"58","01115","AL","Saint Clair",80658
"59","01117","AL","Shelby",187880
"60","01119","AL","Sumter",13871
"61","01121","AL","Talladega",82347
"62","01123","AL","Tallapoosa",41534
"63","01125","AL","Tuscaloosa",188331
"64","01127","AL","Walker",67612
"65","01129","AL","Washington",17556
"66","01131","AL","Wilcox",12012
"67","01133","AL","Winston",24687
"68","02013","AK","Aleutians East",3703
"69","02016","AK","Aleutians West",6259
"70","02020","AK","Anchorage",284267
"71","02050","AK","Bethel",16838
"72","02060","AK","Bristol Bay",1049
"73","02068","AK","Denali",1144
"74","02070","AK","Dillingham",4817
"75","02090","AK","Fairbanks North Star",94439
"76","02100","AK","Haines",1658
"77","02110","AK","Juneau",30975
"78","02122","AK","Kenai Peninsula",53917
"79","02130","AK","Ketchikan Gateway",13396
"80","02150","AK","Kodiak Island",13349
"81","02164","AK","Lake and Peninsula",1626
"82","02170","AK","Matanuska Susitna",84147
"83","02180","AK","Nome",9315
"84","02185","AK","North Slope",8852
"85","02188","AK","Northwest Arctic",7477
"86","02220","AK","Sitka",8894
"87","02232","AK","Skagway Hoonah Angoon",1140
"88","02240","AK","Southeast Fairbanks",6935
"89","02261","AK","Valdez Cordova",9606
"90","02270","AK","Wade Hampton",7398
"91","02282","AK","Yakutat",638
"92","02290","AK","Yukon Koyukuk",5635
"93","04001","AZ","Apache",70312
"94","04003","AZ","Cochise",129268
"95","04005","AZ","Coconino",131824
"96","04007","AZ","Gila",53272
"97","04009","AZ","Graham",36030
"98","04011","AZ","Greenlee",8318
"99","04012","AZ","La Paz",20549
"100","04013","AZ","Maricopa",3751410
"101","04015","AZ","Mohave",199177
"102","04017","AZ","Navajo",107060
"103","04019","AZ","Pima",964462
"104","04021","AZ","Pinal",329297
"105","04023","AZ","Santa Cruz",46051
"106","04025","AZ","Yavapai",209260
"107","04027","AZ","Yuma",190526
"108","05001","AR","Arkansas",19321
"109","05003","AR","Ashley",22126
"110","05005","AR","Baxter",41388
"111","05007","AR","Benton",209911
"112","05009","AR","Boone",36710
"113","05011","AR","Bradley",11638
"114","05013","AR","Calhoun",5529
"115","05015","AR","Carroll",26971
"116","05017","AR","Chicot",12102
"117","05019","AR","Clark",23083
"118","05021","AR","Clay",16297
"119","05023","AR","Cleburne",25692
"120","05025","AR","Cleveland",8769
"121","05027","AR","Columbia",24756
"122","05029","AR","Conway",21059
"123","05031","AR","Craighead",93329
"124","05033","AR","Crawford",60778
"125","05035","AR","Crittenden",50673
"126","05037","AR","Cross",18144
"127","05039","AR","Dallas",8280
"128","05041","AR","Desha",13351
"129","05043","AR","Drew",18546
"130","05045","AR","Faulkner",108375
"131","05047","AR","Franklin",18176
"132","05049","AR","Fulton",12263
"133","05051","AR","Garland",95290
"134","05053","AR","Grant",17657
"135","05055","AR","Greene",41318
"136","05057","AR","Hempstead",22747
"137","05059","AR","Hot Spring",32671
"138","05061","AR","Howard",13778
"139","05063","AR","Independence",35994
"140","05065","AR","Izard",13636
"141","05067","AR","Jackson",18015
"142","05069","AR","Jefferson",78447
"143","05071","AR","Johnson",25180
"144","05073","AR","Lafayette",7764
"145","05075","AR","Lawrence",17340
"146","05077","AR","Lee",10709
"147","05079","AR","Lincoln",14203
"148","05081","AR","Little River",13145
"149","05083","AR","Logan",22580
"150","05085","AR","Lonoke",65846
"151","05087","AR","Madison",15507
"152","05089","AR","Marion",16779
"153","05091","AR","Miller",43048
"154","05093","AR","Mississippi",46815
"155","05095","AR","Monroe",8492
"156","05099","AR","Nevada",9149
"157","05101","AR","Newton",8394
"158","05103","AR","Ouachita",26293
"159","05105","AR","Perry",10435
"160","05107","AR","Phillips",22412
"161","05109","AR","Pike",11286
"162","05111","AR","Poinsett",24703
"163","05113","AR","Polk",20490
"164","05115","AR","Pope",60460
"165","05117","AR","Prairie",8839
"166","05119","AR","Pulaski",377060
"167","05121","AR","Randolph",18049
"168","05123","AR","Saint Francis",28302
"169","05125","AR","Saline",102439
"170","05127","AR","Scott",11226
"171","05129","AR","Searcy",8227
"172","05131","AR","Sebastian",123847
"173","05133","AR","Sevier",16636
"174","05135","AR","Sharp",17432
"175","05137","AR","Stone",12321
"176","05139","AR","Union",42180
"177","05141","AR","Van Buren",17237
"178","05143","AR","Washington",197192
"179","05145","AR","White",74957
"180","05147","AR","Woodruff",7505
"181","05149","AR","Yell",21895
"182","06001","CA","Alameda",1477980
"183","06003","CA","Alpine",1176
"184","06005","CA","Amador",38327
"185","06007","CA","Butte",218635
"186","06009","CA","Calaveras",45994
"187","06011","CA","Colusa",21165
"188","06013","CA","Contra Costa",1024809
"189","06015","CA","Del Norte",28471
"190","06017","CA","El Dorado",179053
"191","06019","CA","Fresno",908830
"192","06021","CA","Glenn",27935
"193","06023","CA","Humboldt",133058
"194","06025","CA","Imperial",168052
"195","06027","CA","Inyo",18434
"196","06029","CA","Kern",815693
"197","06031","CA","Kings",151122
"198","06033","CA","Lake",64371
"199","06035","CA","Lassen",35081
"200","06037","CA","Los Angeles",9758256
"201","06039","CA","Madera",147738
"202","06041","CA","Marin",248601
"203","06043","CA","Mariposa",18290
"204","06045","CA","Mendocino",87487
"205","06047","CA","Merced",250699
"206","06049","CA","Modoc",9605
"207","06051","CA","Mono",13905
"208","06053","CA","Monterey",407435
"209","06055","CA","Napa",134051
"210","06057","CA","Nevada",98186
"211","06059","CA","Orange",2965525
"212","06061","CA","Placer",336477
"213","06063","CA","Plumas",20392
"214","06065","CA","Riverside",2109464
"215","06067","CA","Sacramento",1395144
"216","06069","CA","San Benito",54492
"217","06071","CA","San Bernardino",2005287
"218","06073","CA","San Diego",3022468
"219","06075","CA","San Francisco",789172
"220","06077","CA","San Joaquin",673613
"221","06079","CA","San Luis Obispo",265577
"222","06081","CA","San Mateo",704327
"223","06083","CA","Santa Barbara",416051
"224","06085","CA","Santa Clara",1739396
"225","06087","CA","Santa Cruz",256901
"226","06089","CA","Shasta",176906
"227","06091","CA","Sierra",3366
"228","06093","CA","Siskiyou",44690
"229","06095","CA","Solano",410042
"230","06097","CA","Sonoma",474047
"231","06099","CA","Stanislaus",509682
"232","06101","CA","Sutter",93420
"233","06103","CA","Tehama",62575
"234","06105","CA","Trinity",13701
"235","06107","CA","Tulare",429404
"236","06109","CA","Tuolumne",56074
"237","06111","CA","Ventura",809080
"238","06113","CA","Yolo",196418
"239","06115","CA","Yuba",71160
"240","08001","CO","Adams",425330
"241","08003","CO","Alamosa",15293
"242","08005","CO","Arapahoe",552860
"243","08007","CO","Archuleta",12136
"244","08009","CO","Baca",3833
"245","08011","CO","Bent",6125
"246","08013","CO","Boulder",290177
"247","08014","CO","Broomfield",52872
"248","08015","CO","Chaffee",17540
"249","08017","CO","Cheyenne",2194
"250","08019","CO","Clear Creek",9088
"251","08021","CO","Conejos",8220
"252","08023","CO","Costilla",3536
"253","08025","CO","Crowley",5897
"254","08027","CO","Custer",3899
"255","08029","CO","Delta",30533
"256","08031","CO","Denver",578087
"257","08033","CO","Dolores",2027
"258","08035","CO","Douglas",273440
"259","08037","CO","Eagle",50793
"260","08039","CO","Elbert",22712
"261","08041","CO","El Paso",599988
"262","08043","CO","Fremont",46941
"263","08045","CO","Garfield",54761
"264","08047","CO","Gilpin",5126
"265","08049","CO","Grand",14526
"266","08051","CO","Gunnison",15136
"267","08053","CO","Hinsdale",489
"268","08055","CO","Huerfano",6948
"269","08057","CO","Jackson",1464
"270","08059","CO","Jefferson",528614
"271","08061","CO","Kiowa",1643
"272","08063","CO","Kit Carson",8156
"273","08065","CO","Lake",7039
"274","08067","CO","La Plata",50149
"275","08069","CO","Larimer",291162
"276","08071","CO","Las Animas",15675
"277","08073","CO","Lincoln",5476
"278","08075","CO","Logan",22278
"279","08077","CO","Mesa",142284
"280","08079","CO","Mineral",1020
"281","08081","CO","Moffat",13519
"282","08083","CO","Montezuma",25279
"283","08085","CO","Montrose",40266
"284","08087","CO","Morgan",27911
"285","08089","CO","Otero",18830
"286","08091","CO","Ouray",4319
"287","08093","CO","Park",16286
"288","08095","CO","Phillips",4394
"289","08097","CO","Pitkin",16389
"290","08099","CO","Prowers",12734
"291","08101","CO","Pueblo",156244
"292","08103","CO","Rio Blanco",6494
"293","08105","CO","Rio Grande",11926
"294","08107","CO","Routt",22924
"295","08109","CO","Saguache",6161
"296","08111","CO","San Juan",752
"297","08113","CO","San Miguel",7299
"298","08115","CO","Sedgwick",2412
"299","08117","CO","Summit",27105
"300","08119","CO","Teller",22821
"301","08121","CO","Washington",4773
"302","08123","CO","Weld",242860
"303","08125","CO","Yuma",9896
"304","09001","CT","Fairfield",905342
"305","09003","CT","Hartford",887976
"306","09005","CT","Litchfield",189916
"307","09007","CT","Middlesex",164774
"308","09009","CT","New Haven",856688
"309","09011","CT","New London",272360
"310","09013","CT","Tolland",151073
"311","09015","CT","Windham",117708
"312","11001","DC","District of Columbia",584400
"313","10001","DE","Kent",156918
"314","10003","DE","New Castle",533514
"315","10005","DE","Sussex",190846
"316","12001","FL","Alachua",244247
"317","12003","FL","Baker",26548
"318","12005","FL","Bay",166798
"319","12007","FL","Bradford",28750
"320","12009","FL","Brevard",540583
"321","12011","FL","Broward",1734139
"322","12013","FL","Calhoun",14372
"323","12015","FL","Charlotte",159385
"324","12017","FL","Citrus",140686
"325","12019","FL","Clay",186076
"326","12021","FL","Collier",316931
"327","12023","FL","Columbia",66964
"328","12027","FL","De Soto",34557
"329","12029","FL","Dixie",16196
"330","12031","FL","Duval",854848
"331","12033","FL","Escambia",297940
"332","12035","FL","Flagler",91806
"333","12037","FL","Franklin",11470
"334","12039","FL","Gadsden",46031
"335","12041","FL","Gilchrist",16683
